timestamps,VehicleSpeed,Throttle,Gear,EngineRpm,Brake
31.240000000000002,56.87999825628666,0.0,4,600.0,2282.0
31.28,56.3164072419729,0.0,4,600.0,2282.0
31.32,55.753118108274,0.0,4,600.0,2282.0
31.360000000000003,55.190127719154745,0.0,4,600.0,2282.0
31.400000000000002,54.627432946320056,0.0,4,600.0,2282.0
31.44,54.06503066923215,0.0,4,600.0,2282.0
31.48,53.502917775135735,0.0,4,600.0,2282.0
31.520000000000003,52.94109115909199,0.0,4,600.0,2282.0
31.560000000000002,52.379547724022196,0.0,4,600.0,2282.0
31.6,51.81828438076213,0.0,4,600.0,2282.0
31.64,51.257298048128085,0.0,4,600.0,2282.0
31.680000000000003,50.696585652996006,0.0,4,600.0,2282.0
31.721,50.13614413039487,0.0,4,600.0,2282.0
31.76,49.57597042361616,0.0,4,600.0,2282.0
31.799000000000003,49.016061484340916,0.0,4,600.0,2282.0
31.840000000000003,48.456414272786574,0.0,4,600.0,2282.0
31.880000000000003,47.897025757875724,0.0,4,600.0,2282.0
31.92,47.33789291742951,0.0,4,600.0,2282.0
31.96,46.7790127383884,0.0,4,600.0,2282.0
32.00000000000001,46.220382217063886,0.0,4,600.0,2283.0
32.040000000000006,45.66199835942475,0.0,4,600.0,2283.0
32.080000000000005,45.10362203470461,0.0,4,600.0,2283.0
32.120000000000005,44.54548651716049,0.0,4,600.0,2282.0
32.160000000000004,43.98758884140653,0.0,4,600.0,2282.0
32.2,43.43016220003427,0.0,4,600.0,2282.0
32.239000000000004,42.872967406381875,0.0,4,600.0,2282.0
32.28000000000001,42.31600153297513,0.0,4,600.0,2282.0
32.32000000000001,41.75926166543835,0.0,4,600.0,2282.0
32.36000000000001,41.20274490328746,0.0,4,600.0,2282.0
32.400000000000006,40.646448360833226,0.0,4,600.0,2282.0
32.440000000000005,40.09036916821154,0.0,4,600.0,2282.0
32.480000000000004,39.5345044725603,0.0,4,600.0,2282.0
32.52,38.97885143936646,0.0,4,600.0,2282.0
32.56,38.42340725401081,0.0,4,600.0,2281.0
32.60000000000001,37.86816912354352,0.0,4,600.0,2282.0
32.64000000000001,37.313370425447786,0.0,4,600.0,2282.0
32.68000000000001,36.75853603837254,0.0,4,600.0,2282.0
32.720000000000006,36.20389948060431,0.0,4,600.0,2282.0
32.760000000000005,35.649458069788416,0.0,4,600.0,2282.0
32.800000000000004,35.09520915927747,0.0,4,600.0,2282.0
32.839000000000006,34.54115014247246,0.0,4,600.0,2282.0
32.88,33.98727845792114,0.0,4,600.0,2283.0
32.92100000000001,33.43359159533062,0.0,3,600.0,2283.0
32.96000000000001,32.879790713256085,0.0,3,600.0,2283.0
33.00000000000001,32.32616551878134,0.0,3,600.0,2282.0
33.040000000000006,31.772713228381402,0.0,3,600.0,2282.0
33.080000000000005,31.219667226005964,0.0,3,600.0,2282.0
33.120000000000005,30.66678855425025,0.0,3,600.0,2282.0
33.160000000000004,30.11407450112276,0.0,3,600.0,2281.0
33.2,29.561522383142403,0.0,3,600.0,2282.0
33.24,29.00936569559601,0.0,3,600.0,2282.0
33.28000000000001,28.457129463414866,0.0,3,600.0,2282.0
33.32000000000001,27.905047326824217,0.0,3,600.0,2283.0
33.36000000000001,27.353116758876887,0.0,3,600.0,2282.0
33.400000000000006,26.801099140061236,0.0,3,600.0,2282.0
33.440000000000005,26.249464415955227,0.0,3,600.0,2282.0
33.480000000000004,25.697974039386594,0.0,3,600.0,2282.0
33.52100000000001,25.14662575867474,0.0,3,600.0,2282.0
33.56,24.595417422965166,0.0,3,600.0,2282.0
33.60000000000001,24.044347001166845,0.0,3,600.0,2282.0
33.64000000000001,23.49341260549294,0.0,3,600.0,2281.0
33.68000000000001,22.94261252096114,0.0,3,600.0,2281.0
33.720000000000006,22.392181389404737,0.0,3,600.0,2281.0
33.760000000000005,21.84188176071261,0.0,3,600.0,2283.0
33.800000000000004,21.291712707374543,0.0,3,600.0,2282.0
33.84,20.74120140695006,0.0,3,600.0,2282.0
33.88,20.191056386340588,0.0,3,600.0,2282.0
33.92000000000001,19.641042064137633,0.0,3,600.0,2281.0
33.96000000000001,19.091159899300386,0.0,3,600.0,2281.0
34.00000000000001,18.54164860038491,0.0,2,600.0,2281.0
34.040000000000006,17.992058203598113,0.0,2,600.0,2282.0
34.080000000000005,17.442575581617447,0.0,2,600.0,2281.0
34.121,16.892963796032646,0.0,2,600.0,2281.0
34.159000000000006,16.34369486918507,0.0,2,600.0,2281.0
34.2,15.794532909286842,0.0,2,600.0,2283.0
34.24,15.24547903259242,0.0,2,600.0,2282.0
34.28000000000001,14.696063156924362,0.0,2,600.0,2282.0
34.32000000000001,14.14699753237892,0.0,2,600.0,2281.0
34.36000000000001,13.598051775902407,0.0,2,600.0,2281.0
34.400000000000006,13.04947085242301,0.0,2,600.0,2282.0
34.440000000000005,12.501031800436287,0.0,2,600.0,2282.0
34.480000000000004,11.95251845530166,0.0,2,600.0,2282.0
34.52,11.404197723784556,0.0,2,600.0,2282.0
34.56,10.856118084289847,0.0,2,600.0,2282.0
34.60000000000001,10.308359356733261,0.0,2,600.0,2282.0
34.64000000000001,9.761060851502263,0.0,2,600.0,2281.0
34.68000000000001,9.214486315436696,0.0,2,600.0,2281.0
34.720000000000006,8.66943297848253,0.0,2,600.0,2281.0
34.760000000000005,8.127087459620693,0.0,2,600.0,2282.0
34.800000000000004,7.58981460912152,0.0,2,600.0,2282.0
34.84,7.055940675871157,0.0,2,600.0,2282.0
34.88,6.525102647512554,0.0,2,600.0,2282.0
34.92000000000001,5.9972076057155945,0.0,2,600.0,2281.0
34.96000000000001,5.472268967137712,0.0,2,600.0,2281.0
35.00000000000001,4.950697239937231,0.0,2,600.0,2281.0
35.03900000000001,4.431944187991036,0.0,2,600.0,2281.0
35.080000000000005,3.916047493748692,0.0,1,600.0,2282.0
35.120000000000005,3.4025453160293426,0.0,1,600.0,2282.0
35.160000000000004,2.896737659155659,0.0,1,600.0,2282.0
35.2,2.3985579400078127,0.0,1,600.0,2282.0
35.24000000000001,1.9073809422035062,0.0,1,600.0,2283.0
35.28000000000001,1.4221688199337155,0.0,1,600.0,2283.0
35.32000000000001,0.9414093941150001,0.0,1,600.0,2283.0
35.36000000000001,0.46383555296185774,0.0,1,600.0,2282.0
35.400000000000006,-0.011332215219459395,0.0,1,600.0,2283.0
